bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJNA428596,,SAMN08709149,,SRX3788424,SRR6832618,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709150,,SRX3788423,SRR6832619,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709151,,SRX3788415,SRR6832627,S,,S,,,,R,R,S,S,,S,R,R,S
PRJNA428596,,SAMN08709152,,SRX3788414,SRR6832628,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709153,,SRX3788928,SRR6832649,S,,S,,,,S,S,S,S,,,,S,R
PRJNA428596,,SAMN08709154,,SRX3788929,SRR6832648,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709155,,SRX3788930,SRR6832647,S,,S,,,,R,R,S,R,,,,R,R
PRJNA428596,,SAMN08709156,,SRX3788931,SRR6832646,S,,S,,,,S,S,S,S,,S,S,S,R
PRJNA428596,,SAMN08709157,,SRX3788932,SRR6832645,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709159,,SRX3788934,SRR6832643,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709160,,SRX3788935,SRR6832642,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709161,,SRX3788926,SRR6832651,S,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709162,,SRX3788927,SRR6832650,S,,S,,,,R,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709163,,SRX3788543,SRR6832499,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709164,,SRX3788542,SRR6832500,S,,S,,,,S,S,S,S,,S,S,S,R
PRJNA428596,,SAMN08709165,,SRX3788541,SRR6832501,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709166,,SRX3788540,SRR6832502,S,,S,,,,S,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709167,,SRX3788539,SRR6832503,S,,S,,,,S,R,S,S,,S,R,S,R
PRJNA428596,,SAMN08709168,,SRX3788538,SRR6832504,R,,R,,,,R,R,R,S,,S,R,R,R
PRJNA428596,,SAMN08709169,,SRX3788537,SRR6832505,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709170,,SRX3788536,SRR6832506,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709171,,SRX3788545,SRR6832497,S,,S,,,,R,R,R,S,,S,R,R,R
PRJNA428596,,SAMN08709172,,SRX3788544,SRR6832498,S,,S,,,,R,R,S,R,,S,R,R,R
PRJNA428596,,SAMN08709173,,SRX3788737,SRR6832840,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709174,,SRX3788736,SRR6832841,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709175,,SRX3788735,SRR6832842,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709176,,SRX3788734,SRR6832843,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709177,,SRX3788733,SRR6832844,R,,R,,,,R,R,R,S,,S,R,R,R
PRJNA428596,,SAMN08709178,,SRX3788732,SRR6832845,S,,S,,,,R,R,S,S,,,,R,R
PRJNA428596,,SAMN08709179,,SRX3788731,SRR6832846,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709180,,SRX3788730,SRR6832847,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709181,,SRX3788729,SRR6832848,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709182,,SRX3788728,SRR6832849,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709183,,SRX3788572,SRR6832470,S,,S,,,,R,R,R,S,,S,R,R,R
PRJNA428596,,SAMN08709184,,SRX3788573,SRR6832469,S,,S,,,,R,R,S,R,,S,R,R,R
PRJNA428596,,SAMN08709185,,SRX3788574,SRR6832468,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709186,,SRX3788575,SRR6832467,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709187,,SRX3788576,SRR6832466,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709188,,SRX3788577,SRR6832465,S,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709189,,SRX3788578,SRR6832464,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709190,,SRX3788579,SRR6832463,S,,S,,,,R,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709191,,SRX3788580,SRR6832462,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709192,,SRX3788581,SRR6832461,S,,S,,,,S,R,R,S,,S,S,R,R
PRJNA428596,,SAMN08709193,,SRX3788440,SRR6832602,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709194,,SRX3788439,SRR6832603,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709195,,SRX3788442,SRR6832600,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709196,,SRX3788441,SRR6832601,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709197,,SRX3788436,SRR6832606,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709198,,SRX3788435,SRR6832607,S,,S,,,,R,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709199,,SRX3788438,SRR6832604,S,,S,,,,S,R,S,S,,S,R,S,S
