ena_project,ena_sample,ena_experiment,ena_run
PRJEB26001,ERS2401536,ERX2536074,ERR2516859
PRJEB26001,ERS2401684,ERX2536222,ERR2517007
PRJEB26001,ERS2401421,ERX2535959,ERR2516744
PRJEB26001,ERS2401439,ERX2535977,ERR2516762
PRJEB26001,ERS2401486,ERX2536024,ERR2516809
PRJEB26001,ERS2401480,ERX2536018,ERR2516803
PRJEB26001,ERS2401703,ERX2536241,ERR2517026
PRJEB26001,ERS2401793,ERX2536331,ERR2517116
PRJEB26001,ERS2401657,ERX2536195,ERR2516980
PRJEB26001,ERS2401771,ERX2536309,ERR2517094
PRJEB26001,ERS2401545,ERX2536083,ERR2516868
PRJEB26001,ERS2401574,ERX2536112,ERR2516897
PRJEB26001,ERS2401639,ERX2536177,ERR2516962
PRJEB26001,ERS2401737,ERX2536275,ERR2517060
PRJEB26001,ERS2401714,ERX2536252,ERR2517037
PRJEB26001,ERS2401713,ERX2536251,ERR2517036
PRJEB26001,ERS2401712,ERX2536250,ERR2517035
PRJEB26001,ERS2401670,ERX2536208,ERR2516993
PRJEB26001,ERS2401451,ERX2535989,ERR2516774
PRJEB26001,ERS2401463,ERX2536001,ERR2516786
PRJEB26001,ERS2401445,ERX2535983,ERR2516768
PRJEB26001,ERS2401554,ERX2536092,ERR2516877
PRJEB26001,ERS2401535,ERX2536073,ERR2516858
PRJEB26001,ERS2401638,ERX2536176,ERR2516961
PRJEB26001,ERS2401484,ERX2536022,ERR2516807
PRJEB26001,ERS2401727,ERX2536265,ERR2517050
PRJEB26001,ERS2401552,ERX2536090,ERR2516875
PRJEB26001,ERS2401682,ERX2536220,ERR2517005
PRJEB26001,ERS2401729,ERX2536267,ERR2517052
PRJEB26001,ERS2401533,ERX2536071,ERR2516856
PRJEB26001,ERS2401641,ERX2536179,ERR2516964
PRJEB26001,ERS2401456,ERX2535994,ERR2516779
PRJEB26001,ERS2401628,ERX2536166,ERR2516951
PRJEB26001,ERS2401432,ERX2535970,ERR2516755
PRJEB26001,ERS2401537,ERX2536075,ERR2516860
PRJEB26001,ERS2401555,ERX2536093,ERR2516878
PRJEB26001,ERS2401551,ERX2536089,ERR2516874
PRJEB26001,ERS2401758,ERX2536296,ERR2517081
PRJEB26001,ERS2401468,ERX2536006,ERR2516791
PRJEB26001,ERS2401579,ERX2536117,ERR2516902
PRJEB26001,ERS2401562,ERX2536100,ERR2516885
PRJEB26001,ERS2401513,ERX2536051,ERR2516836
PRJEB26001,ERS2401426,ERX2535964,ERR2516749
PRJEB26001,ERS2401617,ERX2536155,ERR2516940
PRJEB26001,ERS2401679,ERX2536217,ERR2517002
PRJEB26001,ERS2401633,ERX2536171,ERR2516956
PRJEB26001,ERS2401746,ERX2536284,ERR2517069
PRJEB26001,ERS2401591,ERX2536129,ERR2516914
PRJEB26001,ERS2401417,ERX2535955,ERR2516740
PRJEB26001,ERS2401736,ERX2536274,ERR2517059
PRJEB26001,ERS2401423,ERX2535961,ERR2516746
PRJEB26001,ERS2401474,ERX2536012,ERR2516797
PRJEB26001,ERS2401792,ERX2536330,ERR2517115
PRJEB26001,ERS2401662,ERX2536200,ERR2516985
PRJEB26001,ERS2401581,ERX2536119,ERR2516904
PRJEB26001,ERS2401469,ERX2536007,ERR2516792
PRJEB26001,ERS2401708,ERX2536246,ERR2517031
PRJEB26001,ERS2401781,ERX2536319,ERR2517104
PRJEB26001,ERS2401801,ERX2536339,ERR2517124
PRJEB26001,ERS2401490,ERX2536028,ERR2516813
PRJEB26001,ERS2401660,ERX2536198,ERR2516983
PRJEB26001,ERS2401442,ERX2535980,ERR2516765
PRJEB26001,ERS2401688,ERX2536226,ERR2517011
PRJEB26001,ERS2401549,ERX2536087,ERR2516872
PRJEB26001,ERS2401765,ERX2536303,ERR2517088
PRJEB26001,ERS2401653,ERX2536191,ERR2516976
PRJEB26001,ERS2401769,ERX2536307,ERR2517092
PRJEB26001,ERS2401748,ERX2536286,ERR2517071
PRJEB26001,ERS2401777,ERX2536315,ERR2517100
PRJEB26001,ERS2401644,ERX2536182,ERR2516967
PRJEB26001,ERS2401547,ERX2536085,ERR2516870
PRJEB26001,ERS2401472,ERX2536010,ERR2516795
PRJEB26001,ERS2401565,ERX2536103,ERR2516888
PRJEB26001,ERS2401640,ERX2536178,ERR2516963
PRJEB26001,ERS2401790,ERX2536328,ERR2517113
PRJEB26001,ERS2401794,ERX2536332,ERR2517117
PRJEB26001,ERS2401519,ERX2536057,ERR2516842
PRJEB26001,ERS2401723,ERX2536261,ERR2517046
PRJEB26001,ERS2401530,ERX2536068,ERR2516853
PRJEB26001,ERS2401796,ERX2536334,ERR2517119
PRJEB26001,ERS2401495,ERX2536033,ERR2516818
PRJEB26001,ERS2401716,ERX2536254,ERR2517039
PRJEB26001,ERS2401728,ERX2536266,ERR2517051
PRJEB26001,ERS2401608,ERX2536146,ERR2516931
PRJEB26001,ERS2401572,ERX2536110,ERR2516895
PRJEB26001,ERS2401654,ERX2536192,ERR2516977
PRJEB26001,ERS2401702,ERX2536240,ERR2517025
PRJEB26001,ERS2401773,ERX2536311,ERR2517096
PRJEB26001,ERS2401678,ERX2536216,ERR2517001
PRJEB26001,ERS2401772,ERX2536310,ERR2517095
PRJEB26001,ERS2401497,ERX2536035,ERR2516820
PRJEB26001,ERS2401630,ERX2536168,ERR2516953
PRJEB26001,ERS2401465,ERX2536003,ERR2516788
PRJEB26001,ERS2401570,ERX2536108,ERR2516893
PRJEB26001,ERS2401542,ERX2536080,ERR2516865
PRJEB26001,ERS2401477,ERX2536015,ERR2516800
PRJEB26001,ERS2401674,ERX2536212,ERR2516997
PRJEB26001,ERS2401663,ERX2536201,ERR2516986
PRJEB26001,ERS2401503,ERX2536041,ERR2516826
PRJEB26001,ERS2401543,ERX2536081,ERR2516866
PRJEB26001,ERS2401650,ERX2536188,ERR2516973
PRJEB26001,ERS2401436,ERX2535974,ERR2516759
PRJEB26001,ERS2401760,ERX2536298,ERR2517083
PRJEB26001,ERS2401447,ERX2535985,ERR2516770
PRJEB26001,ERS2401559,ERX2536097,ERR2516882
PRJEB26001,ERS2401604,ERX2536142,ERR2516927
PRJEB26001,ERS2401709,ERX2536247,ERR2517032
PRJEB26001,ERS2401685,ERX2536223,ERR2517008
PRJEB26001,ERS2401595,ERX2536133,ERR2516918
PRJEB26001,ERS2401615,ERX2536153,ERR2516938
PRJEB26001,ERS2401750,ERX2536288,ERR2517073
PRJEB26001,ERS2401775,ERX2536313,ERR2517098
PRJEB26001,ERS2401686,ERX2536224,ERR2517009
PRJEB26001,ERS2401747,ERX2536285,ERR2517070
PRJEB26001,ERS2401422,ERX2535960,ERR2516745
PRJEB26001,ERS2401676,ERX2536214,ERR2516999
PRJEB26001,ERS2401757,ERX2536295,ERR2517080
PRJEB26001,ERS2401443,ERX2535981,ERR2516766
PRJEB26001,ERS2401726,ERX2536264,ERR2517049
PRJEB26001,ERS2401799,ERX2536337,ERR2517122
PRJEB26001,ERS2401635,ERX2536173,ERR2516958
PRJEB26001,ERS2401584,ERX2536122,ERR2516907
PRJEB26001,ERS2401621,ERX2536159,ERR2516944
PRJEB26001,ERS2401692,ERX2536230,ERR2517015
PRJEB26001,ERS2401785,ERX2536323,ERR2517108
PRJEB26001,ERS2401664,ERX2536202,ERR2516987
PRJEB26001,ERS2401424,ERX2535962,ERR2516747
PRJEB26001,ERS2401631,ERX2536169,ERR2516954
PRJEB26001,ERS2401689,ERX2536227,ERR2517012
PRJEB26001,ERS2401556,ERX2536094,ERR2516879
PRJEB26001,ERS2401514,ERX2536052,ERR2516837
PRJEB26001,ERS2401680,ERX2536218,ERR2517003
PRJEB26001,ERS2401673,ERX2536211,ERR2516996
PRJEB26001,ERS2401434,ERX2535972,ERR2516757
PRJEB26001,ERS2401583,ERX2536121,ERR2516906
PRJEB26001,ERS2401613,ERX2536151,ERR2516936
PRJEB26001,ERS2401541,ERX2536079,ERR2516864
PRJEB26001,ERS2401430,ERX2535968,ERR2516753
PRJEB26001,ERS2401705,ERX2536243,ERR2517028
PRJEB26001,ERS2401534,ERX2536072,ERR2516857
PRJEB26001,ERS2401704,ERX2536242,ERR2517027
PRJEB26001,ERS2401601,ERX2536139,ERR2516924
PRJEB26001,ERS2401561,ERX2536099,ERR2516884
PRJEB26001,ERS2401475,ERX2536013,ERR2516798
PRJEB26001,ERS2401782,ERX2536320,ERR2517105
PRJEB26001,ERS2401464,ERX2536002,ERR2516787
PRJEB26001,ERS2401462,ERX2536000,ERR2516785
PRJEB26001,ERS2401564,ERX2536102,ERR2516887
PRJEB26001,ERS2401776,ERX2536314,ERR2517099
PRJEB26001,ERS2401499,ERX2536037,ERR2516822
PRJEB26001,ERS2401418,ERX2535956,ERR2516741
PRJEB26001,ERS2401675,ERX2536213,ERR2516998
PRJEB26001,ERS2401697,ERX2536235,ERR2517020
PRJEB26001,ERS2401512,ERX2536050,ERR2516835
PRJEB26001,ERS2401437,ERX2535975,ERR2516760
PRJEB26001,ERS2401649,ERX2536187,ERR2516972
PRJEB26001,ERS2401425,ERX2535963,ERR2516748
PRJEB26001,ERS2401476,ERX2536014,ERR2516799
PRJEB26001,ERS2401779,ERX2536317,ERR2517102
PRJEB26001,ERS2401528,ERX2536066,ERR2516851
PRJEB26001,ERS2401749,ERX2536287,ERR2517072
PRJEB26001,ERS2401700,ERX2536238,ERR2517023
PRJEB26001,ERS2401691,ERX2536229,ERR2517014
PRJEB26001,ERS2401531,ERX2536069,ERR2516854
PRJEB26001,ERS2401768,ERX2536306,ERR2517091
PRJEB26001,ERS2401466,ERX2536004,ERR2516789
PRJEB26001,ERS2401569,ERX2536107,ERR2516892
PRJEB26001,ERS2401567,ERX2536105,ERR2516890
PRJEB26001,ERS2401515,ERX2536053,ERR2516838
PRJEB26001,ERS2401593,ERX2536131,ERR2516916
PRJEB26001,ERS2401683,ERX2536221,ERR2517006
PRJEB26001,ERS2401668,ERX2536206,ERR2516991
PRJEB26001,ERS2401489,ERX2536027,ERR2516812
PRJEB26001,ERS2401600,ERX2536138,ERR2516923
PRJEB26001,ERS2401730,ERX2536268,ERR2517053
PRJEB26001,ERS2401632,ERX2536170,ERR2516955
PRJEB26001,ERS2401717,ERX2536255,ERR2517040
PRJEB26001,ERS2401625,ERX2536163,ERR2516948
PRJEB26001,ERS2401580,ERX2536118,ERR2516903
PRJEB26001,ERS2401577,ERX2536115,ERR2516900
PRJEB26001,ERS2401553,ERX2536091,ERR2516876
PRJEB26001,ERS2401720,ERX2536258,ERR2517043
PRJEB26001,ERS2401438,ERX2535976,ERR2516761
PRJEB26001,ERS2401647,ERX2536185,ERR2516970
PRJEB26001,ERS2401642,ERX2536180,ERR2516965
PRJEB26001,ERS2401672,ERX2536210,ERR2516995
PRJEB26001,ERS2401701,ERX2536239,ERR2517024
PRJEB26001,ERS2401740,ERX2536278,ERR2517063
PRJEB26001,ERS2401573,ERX2536111,ERR2516896
PRJEB26001,ERS2401598,ERX2536136,ERR2516921
PRJEB26001,ERS2401444,ERX2535982,ERR2516767
PRJEB26001,ERS2401699,ERX2536237,ERR2517022
PRJEB26001,ERS2401666,ERX2536204,ERR2516989
PRJEB26001,ERS2401774,ERX2536312,ERR2517097
PRJEB26001,ERS2401612,ERX2536150,ERR2516935
PRJEB26001,ERS2401594,ERX2536132,ERR2516917
PRJEB26001,ERS2401745,ERX2536283,ERR2517068
PRJEB26001,ERS2401431,ERX2535969,ERR2516754
PRJEB26001,ERS2401698,ERX2536236,ERR2517021
PRJEB26001,ERS2401428,ERX2535966,ERR2516751
PRJEB26001,ERS2401797,ERX2536335,ERR2517120
PRJEB26001,ERS2401440,ERX2535978,ERR2516763
PRJEB26001,ERS2401558,ERX2536096,ERR2516881
PRJEB26001,ERS2401510,ERX2536048,ERR2516833
PRJEB26001,ERS2401420,ERX2535958,ERR2516743
PRJEB26001,ERS2401667,ERX2536205,ERR2516990
PRJEB26001,ERS2401578,ERX2536116,ERR2516901
PRJEB26001,ERS2401429,ERX2535967,ERR2516752
PRJEB26001,ERS2401485,ERX2536023,ERR2516808
PRJEB26001,ERS2401739,ERX2536277,ERR2517062
PRJEB26001,ERS2401694,ERX2536232,ERR2517017
PRJEB26001,ERS2401467,ERX2536005,ERR2516790
PRJEB26001,ERS2401606,ERX2536144,ERR2516929
PRJEB26001,ERS2401743,ERX2536281,ERR2517066
PRJEB26001,ERS2401622,ERX2536160,ERR2516945
PRJEB26001,ERS2401452,ERX2535990,ERR2516775
PRJEB26001,ERS2401446,ERX2535984,ERR2516769
PRJEB26001,ERS2401710,ERX2536248,ERR2517033
PRJEB26001,ERS2401789,ERX2536327,ERR2517112
PRJEB26001,ERS2401754,ERX2536292,ERR2517077
PRJEB26001,ERS2401696,ERX2536234,ERR2517019
PRJEB26001,ERS2401538,ERX2536076,ERR2516861
PRJEB26001,ERS2401525,ERX2536063,ERR2516848
PRJEB26001,ERS2401450,ERX2535988,ERR2516773
PRJEB26001,ERS2401795,ERX2536333,ERR2517118
PRJEB26001,ERS2401435,ERX2535973,ERR2516758
PRJEB26001,ERS2401511,ERX2536049,ERR2516834
PRJEB26001,ERS2401715,ERX2536253,ERR2517038
PRJEB26001,ERS2401560,ERX2536098,ERR2516883
PRJEB26001,ERS2401509,ERX2536047,ERR2516832
PRJEB26001,ERS2401742,ERX2536280,ERR2517065
PRJEB26001,ERS2401522,ERX2536060,ERR2516845
PRJEB26001,ERS2401671,ERX2536209,ERR2516994
PRJEB26001,ERS2401481,ERX2536019,ERR2516804
PRJEB26001,ERS2401521,ERX2536059,ERR2516844
PRJEB26001,ERS2401766,ERX2536304,ERR2517089
PRJEB26001,ERS2401645,ERX2536183,ERR2516968
PRJEB26001,ERS2401659,ERX2536197,ERR2516982
PRJEB26001,ERS2401482,ERX2536020,ERR2516805
PRJEB26001,ERS2401721,ERX2536259,ERR2517044
PRJEB26001,ERS2401589,ERX2536127,ERR2516912
PRJEB26001,ERS2401655,ERX2536193,ERR2516978
PRJEB26001,ERS2401755,ERX2536293,ERR2517078
PRJEB26001,ERS2401487,ERX2536025,ERR2516810
PRJEB26001,ERS2401616,ERX2536154,ERR2516939
PRJEB26001,ERS2401568,ERX2536106,ERR2516891
PRJEB26001,ERS2401722,ERX2536260,ERR2517045
PRJEB26001,ERS2401643,ERX2536181,ERR2516966
PRJEB26001,ERS2401526,ERX2536064,ERR2516849
PRJEB26001,ERS2401761,ERX2536299,ERR2517084
PRJEB26001,ERS2401778,ERX2536316,ERR2517101
PRJEB26001,ERS2401637,ERX2536175,ERR2516960
PRJEB26001,ERS2401576,ERX2536114,ERR2516899
PRJEB26001,ERS2401508,ERX2536046,ERR2516831
PRJEB26001,ERS2401493,ERX2536031,ERR2516816
PRJEB26001,ERS2401651,ERX2536189,ERR2516974
PRJEB26001,ERS2401733,ERX2536271,ERR2517056
PRJEB26001,ERS2401753,ERX2536291,ERR2517076
PRJEB26001,ERS2401454,ERX2535992,ERR2516777
PRJEB26001,ERS2401751,ERX2536289,ERR2517074
PRJEB26001,ERS2401648,ERX2536186,ERR2516971
PRJEB26001,ERS2401629,ERX2536167,ERR2516952
PRJEB26001,ERS2401539,ERX2536077,ERR2516862
PRJEB26001,ERS2401780,ERX2536318,ERR2517103
PRJEB26001,ERS2401618,ERX2536156,ERR2516941
PRJEB26001,ERS2401457,ERX2535995,ERR2516780
PRJEB26001,ERS2401506,ERX2536044,ERR2516829
PRJEB26001,ERS2401706,ERX2536244,ERR2517029
PRJEB26001,ERS2401634,ERX2536172,ERR2516957
PRJEB26001,ERS2401787,ERX2536325,ERR2517110
PRJEB26001,ERS2401505,ERX2536043,ERR2516828
PRJEB26001,ERS2401544,ERX2536082,ERR2516867
PRJEB26001,ERS2401471,ERX2536009,ERR2516794
PRJEB26001,ERS2401770,ERX2536308,ERR2517093
PRJEB26001,ERS2401756,ERX2536294,ERR2517079
PRJEB26001,ERS2401738,ERX2536276,ERR2517061
PRJEB26001,ERS2401520,ERX2536058,ERR2516843
PRJEB25999,ERS2401021,ERX2535559,ERR2516343
PRJEB25999,ERS2400915,ERX2535453,ERR2516237
PRJEB25999,ERS2400957,ERX2535495,ERR2516279
PRJEB25999,ERS2401024,ERX2535562,ERR2516346
PRJEB25999,ERS2400942,ERX2535480,ERR2516264
PRJEB25999,ERS2400851,ERX2535389,ERR2516173
PRJEB25999,ERS2400968,ERX2535506,ERR2516290
PRJEB25999,ERS2400988,ERX2535526,ERR2516310
PRJEB25999,ERS2401064,ERX2535602,ERR2516386
PRJEB25999,ERS2400962,ERX2535500,ERR2516284
PRJEB25999,ERS2401076,ERX2535614,ERR2516398
PRJEB25999,ERS2401020,ERX2535558,ERR2516342
PRJEB25999,ERS2400910,ERX2535448,ERR2516232
PRJEB25999,ERS2400992,ERX2535530,ERR2516314
PRJEB25999,ERS2400879,ERX2535417,ERR2516201
PRJEB25999,ERS2400954,ERX2535492,ERR2516276
PRJEB25999,ERS2400849,ERX2535387,ERR2516171
PRJEB25999,ERS2400869,ERX2535407,ERR2516191
PRJEB25999,ERS2400846,ERX2535384,ERR2516168
PRJEB25999,ERS2401072,ERX2535610,ERR2516394
PRJEB25999,ERS2401063,ERX2535601,ERR2516385
PRJEB25999,ERS2401017,ERX2535555,ERR2516339
PRJEB25999,ERS2400906,ERX2535444,ERR2516228
PRJEB25999,ERS2400907,ERX2535445,ERR2516229
