run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
SRR6964625,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964626,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964627,,,,,R,,,,,,,S,S,R,R,,R,R,,,S,,
SRR6964628,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964629,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964630,,,,,R,,,,,,,,R,R,,,S,S,,,R,,
SRR6964631,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964632,,,,,,,,,,,,,R,,,,S,S,,,R,,
SRR6964633,,,,,S,,,,,,,,R,S,,,R,R,,,R,,
SRR6964634,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964635,,,,,S,,,,S,,,S,S,S,S,,S,R,,,S,,
SRR6964636,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964637,,,,,S,,,,,,,S,S,S,R,,R,R,,,S,,
SRR6964638,,,,,S,,,,,,,,R,S,,,S,S,,R,R,,
SRR6964639,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964640,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964641,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964642,,,,,R,,,,,,,,R,S,,,S,S,,,R,,
SRR6964643,,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6964644,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964645,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964646,,,,,S,,,,,,,S,S,S,R,,R,R,,,S,,
SRR6964647,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964648,,,,,S,,,,,,,S,S,S,R,,S,R,,,S,,
SRR6964649,,,,,S,,,,,,,,R,S,,,S,S,,R,R,,
SRR6964650,,,,,S,,,,,,,S,S,S,S,,S,S,,,S,,
SRR6964651,,,,,S,,,,,,,,S,S,,,S,S,,,R,,
SRR6964652,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964653,,,,,S,,,,,,,,R,S,,,S,S,,S,R,,
SRR6964654,,,,,S,,,,,,,S,S,S,S,,R,R,,,S,,
SRR6964655,,,,,S,,,,,,,,S,S,,,S,S,,,R,,
SRR6964656,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964657,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
