#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
29898,29898,SRR6650405,None,SAMN08436038,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/98/98/29898,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29899,29899,SRR6650408,None,SAMN08436039,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/98/99/29899,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29900,29900,SRR6650409,None,SAMN08436040,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/00/29900,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29901,29901,SRR6650276,None,SAMN08436041,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/01/29901,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29902,29902,SRR6650275,None,SAMN08436042,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/02/29902,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29903,29903,SRR6650274,None,SAMN08436043,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/03/29903,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29904,29904,SRR6650273,None,SAMN08436044,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/04/29904,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29905,29905,SRR6650280,None,SAMN08436045,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/05/29905,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29906,29906,SRR6650279,None,SAMN08436046,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/06/29906,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29907,29907,SRR6650278,None,SAMN08436047,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/07/29907,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29908,29908,SRR6650277,None,SAMN08436048,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/08/29908,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29909,29909,SRR6650271,None,SAMN08436049,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/99/09/29909,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
